CustomerID,Cluster
1,5
2,4
3,5
4,4
5,5
6,4
7,5
8,4
9,8
10,4
11,8
12,4
13,8
14,4
15,5
16,4
17,5
18,4
19,8
20,4
21,5
22,4
23,8
24,4
25,8
26,4
27,5
28,4
29,5
30,4
31,8
32,4
33,8
34,4
35,8
36,4
37,5
38,4
39,5
40,4
41,0
42,4
43,0
44,6
45,8
46,4
47,0
48,6
49,6
50,6
51,0
52,6
53,6
54,0
55,0
56,0
57,0
58,0
59,6
60,0
61,0
62,3
63,0
64,0
65,0
66,3
67,6
68,0
69,3
70,6
71,0
72,0
73,0
74,0
75,0
76,6
77,6
78,6
79,3
80,0
81,0
82,6
83,0
84,0
85,3
86,0
87,0
88,3
89,6
90,0
91,0
92,3
93,0
94,6
95,6
96,3
97,0
98,6
99,0
100,3
101,3
102,0
103,0
104,6
105,0
106,3
107,0
108,0
109,0
110,0
111,0
112,3
113,6
114,3
115,3
116,3
117,0
118,0
119,0
120,0
121,6
122,6
123,6
124,1
125,3
126,1
127,2
128,1
129,2
130,1
131,2
132,1
133,3
134,1
135,3
136,1
137,2
138,1
139,3
140,1
141,2
142,1
143,3
144,1
145,3
146,1
147,2
148,1
149,2
150,1
151,2
152,1
153,2
154,1
155,2
156,1
157,2
158,1
159,2
160,1
161,2
162,1
163,3
164,1
165,2
166,1
167,2
168,1
169,2
170,1
171,2
172,1
173,2
174,1
175,2
176,1
177,2
178,1
179,2
180,1
181,9
182,7
183,9
184,7
185,9
186,7
187,9
188,7
189,9
190,7
191,9
192,7
193,9
194,7
195,9
196,7
197,9
198,7
199,9
200,7
